id_franq,franquicia
767,Kidulthood Collection
768,The 36Th Chamber Of Shaolin Collection
769,Emil I Lönneberga
770,2001 Maniacs Collection
771,The Ultimate Collection
772,300 Collection
773,Vacancy Collection
774,Maniac Cop Collection
775,World Of Watches Collection
776,This Is England Collection
777,The Librarian Collection
778,Star Crash Collection
779,Surf'S Up Collection
780,Fantastic Four Collection
781,Grindhouse Collection
782,Transformers Collection
783,Arn Collection
784,The Bible Collection
785,Brice Collection
786,Halloween (Rob Zombie Series) Collection
787,2 Days In... Collection
788,Kevin Smith: Silent Bob Speaks!
789,Sleuth Collection
790,30 Days Of Night Collection
791,Why Did I Get Married Collection
792,Elite Squad Collection
793,Decoys Collection
794,The Man From Earth Collection
795,Hitman Collection
796,Alvin And The Chipmunks Collection
797,Futurama Collection
798,Design Trilogy
799,Inoshika Ocho Series
800,The Hamiltons Collection
801,Keinohrhasen Filmreihe
802,Battlestar Galactica (Reboot) Collection
803,[Rec] Collection
804,In The Name Of The King Collection
805,Hatchet Collection
806,One Missed Call Collection
807,Footsoldier Collection
808,Zeitgeist Collection
809,Anders Matthesen
810,Never Back Down Collection
811,Zebraman Collection
812,Nim'S Island Collection
813,Street Kings Collection
814,Outpost Collection
815,Iron Man Collection
816,Taken Collection
817,Stargate Sg-1 Collection
818,Sex And The City Collection
819,Kung Fu Panda Collection
820,Flesh Gordon Collection
821,Ten Minutes Older... (Collection)
822,An American Girl Collection
823,Frosty The Snowman Collection
824,Mamma Mia! Collection
825,Simon Brenner Collection
826,Journey Collection
827,Per Fly Trilogien (Samling)
828,Death Note Collection
829,Space Chimps Collection
830,The Discworld Collection
831,Red Cliff Collection
832,Death Race Collection
833,Mirrors Collection
834,Tulse Luper
835,Cat Stevens Y Hutch Bessy Trilogy
836,The Sabata Collection
837,Quarantine Collection
838,Madagascar Collection
839,Guinea Pig Collection
840,Crows Collection
841,Camp Rock Collection
842,Beverly Hills Chihuahua Collection
843,Hanzo The Razor Collection
844,King Of The Zombies Collection
845,The Twilight Collection
846,The Guyver Collection
847,Che Collection
848,A Chinese Ghost Story Collection
849,War Of The Worlds Collection
850,Marley & Me Collection
851,Jesse Stone Collection
852,Ip Man Collection
853,The Gamers Collection
854,The Mesrine Collection
855,My Bloody Valentine Collection
856,Galaxy Express 999 Collection
857,Mall Cop Collection
858,Afro Samurai Collection
859,Trancers Collection
860,Screamers Collection
861,La Trilogie Marseillaise
862,The Haunting In Connecticut Collection
863,Takashi Miike'S Young Thugs Series
864,Naked Fear Collection
865,Rest Stop Collection
866,Kiler Collection
867,Sugata Sanshirō Collection
868,The Desert Collection
869,The Wolverine Collection
870,Star Trek: Alternate Reality Collection
871,Flatfoot Collection
872,Sami Swoi Collection
873,Fullmetal Alchemist Collection
874,The Hangover Collection
875,Ranma Collection
876,U Pana Boga Collection
877,Dead Snow Collection
878,Anglo-Zulu War Collection
879,Garfield (Animation) Collection
880,How I Unleashed World War Ii
881,Caprinos Eventyrlige Verden
882,Dark Planet Collection
883,The Collector Collection
884,G.I. Joe (Live-Action) Collection
885,12 Rounds Collection
886,Kill Buljo Collection
887,Rebuild Of Evangelion
888,Love Hina Collection
889,Feast Collection
890,Olympia
891,Shadow Warriors
892,The Carry On Collection
893,Fuga De Cerebros - Collection
894,Laid To Rest Collection
895,Cloudy With A Chance Of Meatballs Collection
896,Paranormal Activity Collection
897,Die Fritz Lang Indien-Edition
898,Mvp
899,Mickey'S Upon A Christmas Collection
900,The Gorky Collection
901,Avatar Collection
902,The Millennium Collection
903,Macgyver (Tv Movies) Collection
904,Ninja Collection
905,Mega Shark Collection
906,Rudolph The Red-Nosed Reindeer Collection
907,Charlie Chan (Warner Oland) Collection
908,Captain Harlock Collection
909,Anne Of Green Gables Collection
910,Steal This Film Collection
911,Percy Jackson Collection
912,Tooth Fairy Collection
913,The Cabin Fever Collection
914,Alice In Wonderland Collection
915,Elektra Luxx Collection
916,Deadly Prey Collection
917,Mondo Cane Collection
918,Ma And Pa Kettle Collection
919,Hot Tub Time Machine Collection
920,How To Train Your Dragon Collection
921,Tom And Jerry Collection
922,Clash Of The Titans Collection
923,Kick-Ass Collection
924,Varg Veum Collection
925,Diary Of A Wimpy Kid Collection
926,Onomichi Trilogy
927,The Moment After Collection
928,Bananas!* Collection
929,Panda! Go Panda! Collección
930,The Human Centipede Collection
931,Stray Cat Rock Collection
932,3 Men (Original) Collection
933,男はつらいよ シリーズ
934,Demonic Toys Collection
935,Trilogia Zé Do Caixão
936,Täällä Pohjantähden Alla (Timo Koivusalo)
937,Rampage Collection
938,Destricted
939,Despicable Me Collection
940,Grown Ups Collection
941,Little Nicholas Collection
942,The Expendables Collection
943,Piranha 3D Collection
944,Tekken Collection
945,The President'S Man Collection
946,Dragon Ball Z (Movie) Collection
947,The Last Exorcism Collection
948,Gasland Collection
949,Machete Collection
950,Tarzan (Lex Barker Series)
951,Vampires Suck Collection
952,Men In The City Collection
953,Superman / Batman (Animated) Collection
954,Mr. Moto Collection
955,Monsters Collection
956,Korengal Valley Documentaries
957,Red Collection
958,The Olsen Gang Collection
959,Sammy'S Adventure Collection
960,The Riffs Trilogy
961,The Bill Douglas Trilogy
962,Tangled Collection
963,The Dick Proenneke Collection
964,The August Underground Collection
965,It'S Alive Collection
966,Rare Exports Collection
967,The One-Armed Swordsman Collection
968,"Sarah, Plain And Tall Collection"
969,Garfield Holiday Celebrations
970,Klovn
971,Tere Bin Laden Collection
972,"Pane, Amore E… - Collezione"
973,Outrage Collection
974,The Magick Lantern Cycle
975,The Trip Collection
976,I Spit On Your Grave Collection
977,Rosemary'S Baby Collection
978,Brother Collection
979,Napapiirin Sankarit
980,Mechanic Collection
981,Insidious Collection
982,Dead Space Collection
983,Hababam Sınıfı Collection
984,New Kids Collection
985,Easy Money Collection
986,Daffy Duck Movie Collection
987,Rio Collection
988,Thor Collection
989,Atlas Shrugged Collection
990,Benvenuti Al... Collection
991,The Storm Riders Collection
992,Eye Of The Dolphin Collection
993,Mothra Collection
994,Vääpeli Körmy - Collection
995,Trilogía Sollima
996,Philo Vance Collection
997,Pekko Aikamiespoika Collection
998,Horrible Bosses Collection
999,Dhamaal Collection
1000,Truth In 24 Collection
1001,Captain America Collection
1002,The Smurfs (Theatrical) Collection
1003,Alpha And Omega Collection
1004,Fred Collection
1005,Planet Of The Apes (Reboot) Collection
1006,Gantz Collection
1007,Fright Night (Reboot) Collection
1008,Cold Prey Collection
1009,Stake Land Collection
1010,Birdemic Collection
1011,The Worricker Collection
1012,The Inbetweeners Collection
1013,"Fat, Sick & Nearly Dead"
1014,Masti Collection
1015,Ironclad Collection
1016,The Avengers Collection
1017,The Thing Collection
1018,Blondie Collection
1019,Sometimes They Come Back Collection
1020,Dreileben
1021,Singham Collection
1022,Xtro Collection
1023,The Gruffalo Collection
1024,Sharktopus Collection
1025,The Hunger Games Collection
1026,Sherlock Holmes Collection
1027,Macon County Collection
1028,Mr. Bones Collection
1029,Disney Buddies Collection
1030,Born To Race Collection
1031,Dolphin Tale Collection
1032,Cat Run Collection
1033,Puss 'N Boots Collection
1034,Six Degrees Of Celebration Collection
1035,Grave Encounters Collection
1036,Detective Dee Collection
1037,The Woman In Black Collection
1038,Kokowääh Filmreihe
1039,The Dead Collection
1040,Goon Collection
1041,Jump Street Collection
1042,Letters To Santa Collection
1043,Eden Of The East Collection
1044,The Incredible Hulk (Tv Movie) Collection
1045,Iron Sky Collection
1046,The Raid Collection
1047,Gamma One Collection
1048,La Trilogie De La Mort – Nacho Cerda
1049,Housefull Collection
1050,Best Exotic Marigold Hotel Collection
1051,Boston Blackie Series
1052,Spud Collection
1053,Think Like A Man Collection
1054,Three Steps Above Heaven Collection
1055,Boys Love Collection
1056,Largo Winch Collection
1057,The Huntsman Collection
1058,Night Of The Demons Collection
1059,Prometheus Collection
1060,The Pact Collection
1061,A Few Best Men Collection
1062,Dragon Ball Collection
1063,Beauty And The Beast Collection
1064,Ted Collection
1065,Magic Mike Collection
