id_prod,productora
798,Breakheart Films
799,Toho-Towa
800,Mutual Film Company
801,Marubeni
802,Yorktown Productions
803,Kanzaman
804,Kan Zamia-a
805,Polaris Pictures
806,Universal Cartoon Studios
807,Summit Entertainment
808,Elite-Tonfilm-Produktion GmbH
809,IMA Productions
810,La Sept-Arte
811,Ima Films
812,Loew's
813,Jurow-Shepherd
814,Alfred J. Hitchcock Productions
815,The Mirisch Company
816,The Mirisch Corporation
817,Ashton Productions
818,Loew's Incorporated
819,Selznick International Pictures
820,Mercury Productions
821,Stanley Kubrick Productions
822,Walter Wanger Productions
823,Jerry Wald Productions
824,Allied Artists Pictures
825,Arthur Freed Production
826,Michael Todd Company
827,Liberty Films (II)
828,Hunt Stromberg Productions
829,Premier Productions
830,Republic Pictures
831,Gaumont British Picture Corporation
832,Lewis Milestone Productions
833,Howard Hughes Productions
834,Laurel Group
835,Off Color Films
836,Image Ten
837,Market Square Productions
838,Independent Film Distributors
839,Romulus Films
840,Santana Pictures Corporation
841,Rizzoli-Haggiag
842,Avon Production
843,Frank Capra Productions
844,Walter Wagner Productions
845,Grand National Pictures
846,Zion Meyers Productions
847,D & B Films Co. Ltd.
848,Jacaranda Films
849,Investec Merchant Bank
850,BMG Independents
851,Pacific Motion Pictures Corporation
852,Stewart Pictures
853,Cappa Productions
854,Gramercy Pictures (II)
855,Dor Film Produktionsgesellschaft GmbH
856,Kuchenreuther Filmproduktion GmbH
857,Neo Productions
858,Metropolitan Filmexport
859,Circle Films
860,DuArt
861,Redemption Productions
862,Tinderbox Films
863,Simian Films
864,Touchwood Pacific Partners 1
865,Multicom entertainment
866,Robert Wise Productions
867,Argyle Enterprises
868,Allied Vision
869,World Film Music Limited
870,Clavius Base
871,Cinema 7
872,World Productions
873,Forge
874,The Steve Tisch Company
875,Constellation Films
876,Paramount
877,Jam Productions
878,Chal Productions
879,Normal Life Productions
880,Revolution Films
881,Azucar Films
882,Bazmark Films
883,Independent Pictures (II)
884,The Alfred Shay Company Inc.
885,First Look Pictures
886,Walt Disney Television Animation
887,Vic Films Productions
888,J. Arthur Rank Organisation
889,Javelin Films
890,David L. Wolper Productions
891,Transatlantic Films
892,Achilles
893,Rollins-Joffe Productions
894,Jack Rollins & Charles H. Joffe Productions
895,Prominent Features
896,HandMade Films
897,Python (Monty) Pictures
898,Artista Management
899,Peerford Ltd.
900,Redford-Ritchie Productions
901,Tatira-Hiller Productions
902,Leland Hayward Productions
903,Great American Films Limited Partnership
904,Vestron Pictures
905,Lionsgate
906,Dog Eat Dog Productions Inc.
907,Hemdale Film Corporation
908,Gladden Entertainment
909,Bill Graham Films
910,Palace Pictures
911,Nippon Film Development and Finance Inc.
912,Eurotrustees
913,GGR
914,Zupnik Cinema Group II
915,Keith Barish Productions
916,Incorporated Television Company
917,Orenda Films
918,Harmony Gold
919,Canned Pictures Inc
920,Charles K. Feldman Group
921,Discovery Channel Productions
922,Wega Film
923,Bac Films
924,Galatée Films
925,Télévision Suisse-Romande (TSR)
926,Conseil Général de l'Aveyron
927,Les Productions JMH
928,Delta Images
929,Redwave Films
930,Public Television Playhouse Inc.
931,C&P Productions
932,Center for Film and Audiovisual Arts of the French Community of Belgium
933,Sony Pictures
934,Woodward Productions
935,Weiny Bro Prods.
936,Jewel Productions
937,Pimlico Films
938,Incorporated Television Company (ITC)
939,AVCO Embassy Pictures
940,EDI
941,Debra Hill Productions
942,Goldcrest Films International
943,International Film Investors
944,City Film
945,Wescom Productions
946,AMLF
947,RAI Radiotelevisione Italiana
948,Vision Comunicaciones
949,Catalina Cinema
950,Arauco Films
951,Python (Monty) Pictures Limited
952,Michael White Productions
953,National Film Trustee Company
954,Twickenham Film Studios
955,Jürgen Brüning Filmproduktion
956,Dangerous to Know Swell Co.
957,Hustler White Productions
958,Big Sister Production
959,Gemini Films
960,Madragoa Filmes
961,Warren Miller Entertainment
962,David Sonenberg Production
963,Das Films
964,Peripheria
965,Dussault
966,France 3 (FR3)
967,Pandora Cinema
968,Athanor
969,Heart of Europe Prague K Productions
970,Kominsk
971,Bryan Foy Productions
972,Eagle-Lion Films
973,Edward Small Productions
974,Scalera Film S.p.a.
975,Invicta Films
976,Jadran Film
977,Artemis Film
978,Franz Seitz Filmproduktion
979,Film Polski
980,Hallelujah Films
981,GGB-14
982,Keep Films
983,UGC PH
984,Les Films du Carrosse
985,Anouchka Films
986,Rai Tre Radiotelevisione Italiana
987,Elsevira
988,Erbograph Co.
989,Vendex
990,Sofinergie Films
991,Fondation GAN pour le Cinéma
992,Sofinergie 2
993,Investimage 2
994,"Zespól Filmowy ""Tor"""
995,Norsk Film
996,Sidéral Productions
997,Greenpoint Films
998,Bryna Productions
999,Cineplex-Odeon Films
1000,Royal Oaks Entertainment
1001,Amritraj / Stevens Entertainment
1002,Tiger Moth Productions
1003,Penta Films
1004,A.M.A. Film
1005,Ferndale Films
1006,Granada Television
1007,Radio Telefís Éireann (RTÉ)
1008,Outlaw Productions
1009,Virgin
1010,Atchafalaya
1011,Beyond Films
1012,M & A
1013,Third Floor Productions
1014,Artisan Entertainment
1015,Fantasy Films
1016,Act III Communications
1017,The Princess Bride Ltd.
1018,Buttercup Films Ltd.
1019,Embassy International Pictures
1020,SLM Production Group
1021,Brandywine Productions
1022,Constantin Film Produktion
1023,Arturo González Producciones Cinematográficas S.A.
1024,Handmade Films Ltd.
1025,Orion-Nova Productions
1026,Horizon Pictures (II)
1027,Zoetrope Studios
1028,Rafran Cinematografica
1029,Finanzia San Marco
1030,London Film Productions
1031,British Lion Film Corporation
1032,Winkler Films
1033,Nippon Herald Films
1034,Greenwich Film Productions
1035,Herald Ace
1036,Film Workshop
1037,Golden Princess Film Production Limited
1038,Shamley Productions
1039,The Coppola Company
1040,Natant
1041,Mosfilm
1042,Radiant Film GmbH
1043,Süddeutscher Rundfunk
1044,Twin Bros. Productions
1045,Hemdale Film
1046,Cinema 84
1047,Euro Film Funding
1048,Avalon/NFU Studios
1049,Freddie Fields Productions
1050,Brandenberg
1051,WNET Channel 13 New York
1052,Lawrence Turman
1053,Universal International Pictures (UI)
1054,cechi gori group
1055,Cineriz
1056,Francinex
1057,Penthouse
1058,Long Road Productions
1059,CBS Entertainment Productions
1060,A&M Films
1061,Peregrine
1062,The Body
1063,Act III
1064,Nero-Film AG
1065,Rosebud Productions
1066,EMI Films Ltd.
1067,Les Films Galaxie
1068,France 2 (FR2)
1069,MC Productions
1070,SC Entertainment
1071,U-Drive Productions
1072,Black Snake
1073,Grokenberger Film Produktion
1074,Mainichi Broadcasting System (MBS)
1075,Tokyo Movie Shinsha (TMS)
1076,TMS Entertainment
1077,Akira Committee Company Ltd.
1078,Sumitomo Corporation
1079,Davis-Panzer Productions
1080,Thorn EMI Screen Entertainment
1081,Jalem Productions
1082,Crossbow Productions
1083,Gruskoff/Venture Films
1084,Jouer Limited
1085,Locus Solus Entertainment
1086,Pyramide Productions
1087,Victor Musical Industries
1088,ERA International
1089,Century Communications
1090,Roy Export Company Establishment
1091,Stanley Kramer Productions
1092,New World Pictures
1093,Cinemarque Entertainment
1094,Spinal Tap Prod.
1095,IRE Productions
1096,Santa Fe Institute for Regional Education
1097,Lorimar Film Entertainment
1098,Indo-British
1099,National Film Development Corporation of India
1100,Carolina Bank
1101,The Saul Zaentz Company
1102,National Film Finance Corporation (NFFC)
1103,Curzon Film Distributors
1104,Delphi III Productions
1105,Tin Blue
1106,FilmTeknik
1107,Persky-Bright Productions
1108,Devon
1109,Campanile Productions
1110,Newman-Foreman Productions
1111,Pro-ject Filmproduktion
1112,Road Movies Filmproduktion
1113,Wim Wenders Stiftung
1114,Helvey-Pray Production
1115,Hit Entertainment
1116,Cineplex Odeon Films
1117,Kinowelt Filmproduktion
